26-03-01 10:26:53.257 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.repository.UserRepositoryImplTests], using SpringBootContextLoader 
26-03-01 10:26:53.283 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.journalApp.repository.UserRepositoryImplTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
26-03-01 10:26:53.284 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.repository.UserRepositoryImplTests]: UserRepositoryImplTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
26-03-01 10:26:53.537 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalApplication for test class net.engineeringdigest.journalApp.repository.UserRepositoryImplTests 
26-03-01 10:26:53.697 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
26-03-01 10:26:53.720 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@19fb8826, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@192d74fb, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4bef0fe3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@62ea3440, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@27953a83, org.springframework.test.context.support.DirtiesContextTestExecutionListener@556d0826, org.springframework.test.context.transaction.TransactionalTestExecutionListener@66ce957f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@55b5f5d2, org.springframework.test.context.event.EventPublishingTestExecutionListener@5bfa8cc5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@666b83a4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@749c877b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@efde75f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@16ecee1, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3b220bcb, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2b95e48b] 
26-03-01 10:26:54.361 [main] INFO  n.e.j.r.UserRepositoryImplTests - Starting UserRepositoryImplTests using Java 17.0.16 on DESKTOP-19CC2O2 with PID 13236 (started by Aditya Malhotra in C:\Users\Aditya Malhotra\IdeaProjects\journalApp) 
26-03-01 10:26:54.363 [main] DEBUG n.e.j.r.UserRepositoryImplTests - Running with Spring Boot v2.7.15, Spring v5.3.29 
26-03-01 10:26:54.364 [main] INFO  n.e.j.r.UserRepositoryImplTests - The following 1 profile is active: "prod" 
26-03-01 10:26:55.279 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
26-03-01 10:26:55.368 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 82 ms. Found 2 MongoDB repository interfaces. 
