26-03-05 18:43:33.712 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.Service.RedisTests], using SpringBootContextLoader 
26-03-05 18:43:33.745 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.journalApp.Service.RedisTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
26-03-05 18:43:33.747 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.Service.RedisTests]: RedisTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
26-03-05 18:43:34.247 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalApplication for test class net.engineeringdigest.journalApp.Service.RedisTests 
26-03-05 18:43:34.557 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
26-03-05 18:43:34.613 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@654d8173, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@56c9bbd8, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@630cb4a4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@636e8cc, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@f79a760, org.springframework.test.context.support.DirtiesContextTestExecutionListener@14f5da2c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@12dae582, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@239b0f9d, org.springframework.test.context.event.EventPublishingTestExecutionListener@619bfe29, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5b057c8c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1eb6749b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@652a7737, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5b7ea70d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2bef51f2, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@650eab8] 
26-03-05 18:43:35.418 [main] INFO  n.e.journalApp.Service.RedisTests - Starting RedisTests using Java 17.0.16 on DESKTOP-19CC2O2 with PID 13724 (started by Aditya Malhotra in C:\Users\Aditya Malhotra\IdeaProjects\journalApp) 
26-03-05 18:43:35.420 [main] INFO  n.e.journalApp.Service.RedisTests - No active profile set, falling back to 1 default profile: "default" 
26-03-05 18:43:36.958 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
26-03-05 18:43:36.962 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
26-03-05 18:43:37.322 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 352 ms. Found 2 MongoDB repository interfaces. 
26-03-05 18:43:37.356 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
26-03-05 18:43:37.358 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
26-03-05 18:43:37.399 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface net.engineeringdigest.journalApp.repository.JournalEntryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
26-03-05 18:43:37.400 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface net.engineeringdigest.journalApp.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
26-03-05 18:43:37.401 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces. 
26-03-05 18:43:39.137 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Microsoft/17.0.16+8-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='adityamalhotra911_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@377949f1]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.wt1vqbf.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-d6ffx4-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
26-03-05 18:43:39.298 [cluster-ClusterId{value='69a9818352efba57a171584c', description='null'}-srv-cluster0.wt1vqbf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 to client view of cluster 
26-03-05 18:43:39.382 [cluster-ClusterId{value='69a9818352efba57a171584c', description='null'}-srv-cluster0.wt1vqbf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017 to client view of cluster 
26-03-05 18:43:39.384 [cluster-ClusterId{value='69a9818352efba57a171584c', description='null'}-srv-cluster0.wt1vqbf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017 to client view of cluster 
26-03-05 18:43:40.010 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@1eb9bf60 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
26-03-05 18:43:40.894 [cluster-rtt-ClusterId{value='69a9818352efba57a171584c', description='null'}-ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:554185}] to ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017 
26-03-05 18:43:40.894 [cluster-ClusterId{value='69a9818352efba57a171584c', description='null'}-ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:554185}] to ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017 
26-03-05 18:43:40.894 [cluster-ClusterId{value='69a9818352efba57a171584c', description='null'}-ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:543146}] to ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017 
26-03-05 18:43:40.894 [cluster-ClusterId{value='69a9818352efba57a171584c', description='null'}-ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:652065}] to ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 
